id;group_code;internal_code;start_date;end_date;parent_internal_code;comments;sec_level;code_value_date;code_value_string;code_value_bool;code_value_number
1;intuitive Open-architected system-worthy;program;2019-09-10T11:19:11;2019-09-11T00:46:08;array France protocol;open-source HDD;91;2019-09-11;Beauty Auto Loan Account;false;64996
2;Yen;Unbranded Fresh Pants Tools California;2019-09-10T17:31:29;2019-09-10T14:10:10;Garden Dale Wallis and Futuna;generating;86;2019-09-11;Small Fresh Gloves;false;53708
3;interface;compress lavender Investment Account;2019-09-11T01:59:58;2019-09-10T07:50:22;sky blue;Peru deposit;72;2019-09-11;Analyst card Licensed Cotton Ball;false;43897
4;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;2019-09-10T17:25:54;2019-09-10T22:02:32;Benin;Tuna Response invoice;51;2019-09-10;Jamaica Credit Card Account;false;4771
5;Louisiana;hack;2019-09-11T03:42:09;2019-09-10T19:50:34;Small;Incredible Fresh Chips;70;2019-09-10;Music connect;true;47347
6;Shoes systems;Generic Frozen Tuna HTTP;2019-09-10T21:47:11;2019-09-10T19:03:26;Personal Loan Account;Cambridgeshire Norfolk Island;68;2019-09-11;Tasty Metal Sausages Outdoors;true;63640
7;multi-byte Jamaican Dollar North Carolin;Station;2019-09-10T14:57:12;2019-09-10T08:21:10;Investment Account parsing invoice;black;6;2019-09-10;utilize;false;9444
8;Gourde US Dollar Handcrafted Plastic Shi;Armenian Dram wireless directional;2019-09-10T16:08:35;2019-09-11T01:12:43;Rupiah Personal Loan Account HTTP;schemas Specialist China;42;2019-09-10;multi-byte Producer;false;12768
9;Robust Louisiana;Infrastructure SSL bandwidth;2019-09-10T10:01:38;2019-09-10T10:17:25;Configurable iterate Liechtenstein;navigating encoding;89;2019-09-11;Small Frozen Salad bypassing;false;31931
10;Quality Applications Missouri;Practical Gorgeous;2019-09-10T13:35:22;2019-09-10T20:09:36;Danish Krone parse;neural Wooden Optimization;97;2019-09-11;Austria mindshare EXE;false;70583
